SKU,Nombre
1487,SWITCH PUERTA REF. LG HC-056K
1484,SWITCH PUERTA REF. SAMSUNG SP201R-7D
6600JB2005C,SWITCH REF. LG ORG. 5 PINES 6600JB2005C
1766,SWITCH REF. SAMSUNG ORG DA34-00066B
162D6801G046,TANQUE ALMACENADOR DE AGUA REF MABE-GE ORG. 162D6801G046
CSP30020818,TARJETA CONTRO PRINC. LG ORG. INVERTER CSP30020818
WR01F00288,TARJETA CONTROL PRINCIPAL MBGE WR01F00288 / 225D4208G003
WR01F00242,"TARJETA CONTROL REF. MABE ORG. 225D3466G009,008 WR01F00242"
W11436572,TARJETA CONTROL REF. WH ORG. W11436572
W10503278,TARJETA CONTROL WH W10503278
W11410542,TARJETA CTRL. REF. MONARCA W11410542
CT225D4205G0071514,TARJETA DE CONTROL PRINC. MBGE 225D4205G003
DA92'0044A,TARJETA DESHIELO SM O. 9H
1179,TARJETA INVERTER REF. SAMSUNG DA92-00768J
1299,TARJETA INVERTER SAMSUNG ORG DA41-00411B
2080,TARJETA PODER SAMSUNG ORG. DA92-00795B
1554,"TARJETA POTENCIA PARA REF. 120V, 20A TREF-G03"
DA41-00388H,TARJETA REF. DA-4100388 SAMSUNG
6871JK1005,TARJETA REF. LG 5 FOCOS 6871JK1005
EBR30299302,TARJETA REF. LG ORG. EBR30299302
WR55X21623,TARJETA REF. MABE WR55X21623 ORG
W10257565,TERMISTOR SENSOR REF WH ORG. W10257565
2287,TERMISTOR SENSOR REF. SAMSUNG DA32-10104V
2227,TERMOMETRO DIGITAL CON ALARMA Y MEMORIA -50 A 70C
819,TERMOSTATO CALENTADOR DE AGUA 86° 110V
7503026414941,TERMOSTATO DIGITAL COLDTEK -50-70C
1497,TERMOSTATO PARA VITRINA STC-1000 C/SENSOR
1410,TERMOSTATO REF MABE 8-10 PIES ORG.
W10424991,TERMOSTATO REF. WHIRPOOL W10424991 ORG.
1104,TERMOSTATO SAMSUNG VERDE PFN-C71
2198202E,TERMOSTATO WH 2198202 GEN.
W10384183,TRANSISTOR SENSOR DE TEMPERATURA WH ORG. W10384183
W11575003,VALVULA 3 VIAS WH ORG. W11575003
W11590197,VALVULA 3 VIAS WH ORG. W11590197
1969,VALVULA CHECK RIGIDA ANGULADA 45°
1505,VALVULA PARA CARGAR GAS PINCHABLE 1/4-5/16
